N,repeat,scenario,accuracy,rmse,r2,type1,type2,tp,tn,fp,fn,tp_rate,tn_rate,fp_rate,fn_rate,lead_rate,stop_rate,continue_rate,n_should_continue,n_successful_predictions,learned_kernel,learned_length_scale,warning_count
5,11,A,1.0,140.6121495749476,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[63.5, 8.47, 2.48, 0.0421, 0.0421])",63.51;8.472;2.481;0.04208;0.04207,1
5,11,B,1.0,140.6121495749476,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[63.5, 8.47, 2.48, 0.0421])",63.51;8.472;2.481;0.04208,1
5,12,A,1.0,132.9446500612482,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,12,B,1.0,132.9446500612482,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,13,A,1.0,119.46198709783184,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,13,B,1.0,119.46198709783184,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,14,A,1.0,97.53497138686811,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,14,B,1.0,97.53497138686811,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,15,A,1.0,140.45869002509593,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,15,B,1.0,140.45869002509593,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
