paper_A_doi,paper_B_doi,n_records_A,n_records_B,shared_buckets_with_value,n_shared_buckets_with_value,shared_buckets_with_range_in_A,shared_endpoint_kinds,shared_endpoint_units,shared_time_points,shared_membrane_types,compatibility_class,notes
10.1007/s11095-024-03747-6,10.1016/j.ijpharm.2019.118975,9,6,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1021/acs.molpharmaceut.0c00720,9,7,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1038/s41598-024-57883-5,9,10,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1038/srep08114,9,3,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1039/d0ra00100g,9,8,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1172/jci2614,9,4,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1186/2050-6511-13-5,9,27,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1208/s12249-013-9995-4,9,24,surfactant_tpgs,1,,,,,,INCOMPATIBLE,No shared endpoint kind.
10.1007/s11095-024-03747-6,10.1208/s12249-019-1481-1,9,10,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1208/s12249-019-1584-8,9,10,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1248/cpb.c21-00033,9,14,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1371/journal.pone.0118536,9,3,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1371/journal.pone.0156931,9,8,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1523/jneurosci.15-04-02768.1995,9,9,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1523/jneurosci.5741-07.2008,9,5,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.1593/neo.121890,9,4,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.18433/j3160b,9,6,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.21203/rs.3.rs-3773667/v1,9,3,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.3389/fphar.2024.1355283,9,3,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.3389/fphys.2016.00263,9,4,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s11095-024-03747-6,10.4103/jomfp.jomfp_253_19,9,19,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1007/s11095-008-9785-y,6,12,,0,,cumulative_amount,,3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1007/s11095-024-03747-6,6,9,,0,,unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1016/j.ejpb.2020.05.013,6,12,,0,,cumulative_amount;unknown,,3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1016/j.ijpharm.2016.03.043,6,27,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1016/j.ijpharm.2019.118975,6,6,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1021/acs.molpharmaceut.0c00720,6,7,,0,,cumulative_amount;unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1038/s41598-024-57883-5,6,10,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1038/srep08114,6,3,,0,,cumulative_amount,,24h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1039/d0ra00100g,6,8,,0,,cumulative_amount;unknown,,24h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1172/jci2614,6,4,,0,,cumulative_amount;unknown,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1186/2050-6511-13-5,6,27,,0,,cumulative_amount;unknown,%,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1208/s12249-013-9995-4,6,24,,0,,cumulative_amount,,24h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1208/s12249-019-1481-1,6,10,,0,,cumulative_amount;percent,,3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1208/s12249-019-1584-8,6,10,,0,,cumulative_amount,,4h;24h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1248/cpb.c21-00033,6,14,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1371/journal.pone.0118536,6,3,,0,,cumulative_amount,,24h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1007/s13346-022-01182-x,10.1371/journal.pone.0156931,6,8,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
