k,feature_set,mean_rmse,sd_rmse,mean_mae,sd_mae,mean_bias,sd_bias,mean_spearman,sd_spearman,median_spearman,mean_pearson,sd_pearson,mean_within_2x,sd_within_2x,mean_top3_hit,sd_top3_hit,n_repeats
3,composition_only,0.1259539272,0.03525092266,0.1027780867,0.02961168831,0.01993012888,0.07378674509,0.6091666667,0.2895010014,0.6833333333,0.7395242822,0.1900314262,0.9763888889,0.07003615703,0.5583333333,0.1740960176,80
3,composition_plus_solubility,0.120654597,0.03356645047,0.09078148205,0.02554143953,0.009168457389,0.06977321055,0.7252083333,0.1205937535,0.7333333333,0.7953839957,0.08868232037,0.9763888889,0.05212697422,0.5875,0.1612516967,80
5,composition_only,0.1192179225,0.02824087411,0.09868896717,0.0237710877,0.01392829293,0.06762790917,0.634375,0.3111031815,0.6964285714,0.7063409307,0.2775773105,0.9892857143,0.03786473362,0.6083333333,0.1968457313,80
5,composition_plus_solubility,0.1140884709,0.03175331102,0.08828247447,0.02488341878,0.005534302286,0.06455263021,0.6977678571,0.1857893636,0.7142857143,0.7649657247,0.1627456678,0.9892857143,0.03786473362,0.6375,0.1693351772,80
