k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
5,composition_only,61,345698675,0.08278603736,0.07416667136,0.01572352438,0.9642857143,0.9172608382,1,0.6666666667,7
5,composition_only,62,2296661869,0.09319579424,0.08419431811,0.02740329621,0.8928571429,0.9093741776,1,1,7
5,composition_only,63,1808063307,0.1143252119,0.09253708099,-0.01549226528,0.9285714286,0.8197604616,1,0.6666666667,7
5,composition_only,64,3884888703,0.132445021,0.09672277382,-0.09303099716,0.8928571429,0.820347365,1,0.6666666667,7
5,composition_only,65,2494461129,0.06456237566,0.05583760209,0.02654616945,0.7857142857,0.926684068,1,0.6666666667,7
5,composition_only,66,3862701690,0.1227924027,0.1064131638,-0.04489190757,0.6428571429,0.7361710415,1,0.6666666667,7
5,composition_only,67,1989052338,0.1421272437,0.1178586375,-0.07445613852,0.03571428571,0.6128525081,1,0.3333333333,7
5,composition_only,68,2910179760,0.1127852715,0.08884557714,-0.03601963895,0.9642857143,0.8219464576,1,0.6666666667,7
5,composition_only,69,1983180500,0.1254425756,0.1024503563,0.1024503563,0.4285714286,0.8869609694,1,0.6666666667,7
5,composition_only,70,2796940620,0.1095297978,0.09268243748,0.007544203597,0.7857142857,0.8503945251,1,0.6666666667,7
5,composition_only,71,2835193311,0.08378802043,0.07106415837,0.004346004069,0.9642857143,0.9080879712,1,1,7
5,composition_only,72,1671370085,0.1349112933,0.1096780383,0.04652969054,0.4285714286,0.4309363389,1,0.6666666667,7
5,composition_only,73,3953588250,0.1089241905,0.08591552069,-0.03319783885,0.8214285714,0.7830635711,1,0.6666666667,7
5,composition_only,74,358542842,0.1273994127,0.1019656888,-0.06904774414,0.7857142857,0.798478517,1,0.6666666667,7
5,composition_only,75,3497188667,0.1164326503,0.09234882074,0.09234882074,0.6071428571,0.8927119613,1,0.6666666667,7
5,composition_only,76,253549709,0.1156135308,0.09391539648,0.08029325675,0.1785714286,0.1927885031,1,0.6666666667,7
5,composition_only,77,1953331372,0.2164892025,0.1827199158,0.1827199158,0.6785714286,0.7179113273,0.8571428571,0.6666666667,7
5,composition_only,78,890775398,0.09410489887,0.08358810144,0.08358810144,0.9285714286,0.9736780749,1,0.6666666667,7
5,composition_only,79,642810498,0.1158117748,0.09094322429,-0.02227897683,0.9642857143,0.7687553814,1,1,7
5,composition_plus_solubility,0,2684470948,0.0959101556,0.06903152961,-0.01678665149,0.8214285714,0.8537478816,1,0.6666666667,7
5,composition_plus_solubility,1,4091952314,0.112113491,0.08696631715,-0.01793259631,0.5357142857,0.7835385506,1,0.3333333333,7
5,composition_plus_solubility,2,233227757,0.1054090323,0.0855336648,0.02048831214,0.6428571429,0.81287849,1,0.6666666667,7
5,composition_plus_solubility,3,3276785861,0.08898419729,0.07402398946,0.03714657747,0.7142857143,0.8934957682,1,0.6666666667,7
5,composition_plus_solubility,4,3644269654,0.1235885046,0.08932862206,-0.06755897389,0.7857142857,0.8270186577,1,0.6666666667,7
