formulation_id,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,design_group,design_method,design_stage_order,source,t1,t2,t3,t4,t6,t8,t22,t24,t26,t28
Cf1,1,30.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.5432835820895527,7.858507462686568,14.280895522388061,21.315522388059705,36.607761194029855,52.602388059701504,169.46,184.17014925373138,200.1692537313433,216.63970149253734
Cf1,2,30.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.794029850746269,9.76358208955224,18.22089552238806,27.244179104477617,47.27164179104478,69.66895522388062,230.27492537313435,254.69582089552242,281.83641791044784,306.9635820895523
Cf1,3,30.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),5.414925373134329,11.572238805970152,18.74029850746269,26.322089552238808,42.85910447761194,59.654029850746284,186.90835820895524,205.4155223880597,224.84776119402989,245.28119402985075
Cf1,4,30.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),6.220895522388061,11.80955223880597,18.277014925373134,25.731641791044776,41.28268656716418,58.787164179104494,195.79940298507466,213.16328358208958,232.48895522388062,252.0994029850747
Cf1,5,30.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),6.967164179104479,12.109552238805971,18.727462686567165,25.75432835820896,41.888059701492544,60.65522388059701,196.35313432835824,217.1862686567164,240.13582089552241,263.32089552238807
Cf2,1,30.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),4.268656716417911,12.350746268656717,21.375522388059707,31.84805970149254,51.968955223880606,74.34029850746268,235.84597014925376,257.11223880597015,279.73492537313433,302.9510447761194
Cf2,2,30.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.5970149253731343,10.141791044776122,19.800597014925376,29.20089552238806,50.700895522388066,73.99492537313434,239.43880597014928,250.97134328358212,283.3456716417911,305.81880597014924
Cf2,3,30.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),4.13134328358209,13.173731343283583,23.92358208955224,34.90985074626866,59.689253731343285,85.41641791044778,273.4301492537314,299.4292537313433,325.9513432835821,352.65014925373134
Cf2,4,30.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.8268656716417917,11.194328358208956,19.219104477611943,27.7489552238806,46.93970149253732,66.62477611940298,209.9185074626866,221.35164179104478,250.65522388059705,270.4208955223881
Cf2,5,30.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.75820895522388,11.6058208955224,20.4931343283582,29.2798507462687,50.7998507462687,72.1628358208955,228.710597014925,242.510149253731,273.763432835821,295.270447761194
