dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
doi:10.1213/ane.0b013e3182937b74,10.1213/ane.0b013e3182937b74,23744957,2013,Anesthesia and analgesia,Formulation and evaluation of lidocaine base ethosomes for transdermal delivery.,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,False,,,,,False,False,False,False,False,13,3,1,2,True,False,31.15
pmid:24403658,,24403658,2013,,Ketotifen Fumarate and Salbutamol Sulphate Combined Transdermal Patch Formulations: In vitro release and Ex vivo Permeation Studies.,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,2,6,0,1,False,False,31.15
doi:10.2147/ijn.s39383,10.2147/ijn.s39383,23411489,2013,International Journal of Nanomedicine,Nanoemulsion containing dapsone for topical administration: a study of in vitro release and epidermal permeation.,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,3,0,1,False,False,13.15
doi:10.1007/s10529-013-1217-3,10.1007/s10529-013-1217-3,23690030,2013,Biotechnology letters,Potential of biodegradable microneedles as a transdermal delivery vehicle for lidocaine.,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,True,False,True,True,False,0,1,0,0,False,False,5.15
doi:10.1208/s12248-013-9518-y,10.1208/s12248-013-9518-y,23959685,2013,The AAPS journal,Structure activity relationships in alkylammonium C12-gemini surfactants used as dermal permeation enhancers.,True,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,4,1,1,False,True,20.15
doi:10.1248/cpb.c14-00096,10.1248/cpb.c14-00096,24881664,2014,Chemical & pharmaceutical bulletin,Analysis of the pretreatment effect of ethanol on the stratum corneum- and hair follicular-penetration of drugs using the hair follicle-plugging method.,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,1,0,1,False,False,5.2
doi:10.1016/j.ijpharm.2014.05.040,10.1016/j.ijpharm.2014.05.040,24866271,2014,International journal of pharmaceutics,Comparative percutaneous permeation study using caffeine-loaded microemulsion showing low reliability of the frozen/thawed skin models.,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,,,,,False,False,False,False,False,3,4,1,1,True,False,26.2
doi:10.1159/000357478,10.1159/000357478,24854835,2014,Skin pharmacology and physiology,Effect of induced acute diabetes and insulin therapy on stratum corneum barrier function in rat skin.,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,2,1,0,False,False,12.2
doi:10.1111/jvp.12073,10.1111/jvp.12073,23980624,2014,Journal of veterinary pharmacology and therapeutics,Effects of eight vehicles on transdermal lidocaine penetration in sheep skin<i>in vitro</i>,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,,,,,False,False,False,False,False,11,10,2,1,True,False,62.2
pmid:25729544,,25729544,2014,,Enhancement of transdermal delivery of ibuprofen using microemulsion vehicle.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,False,False,False,False,False,3,7,0,0,True,False,35.2
