scenario,formulation_label,actual_72h_ug_cm2,pred_72h_ug_cm2,std_72h_ug_cm2,ybest_other_72h_ug_cm2,poe,decision,actual_label,outcome,correct,saved_fraction,learned_kernel,learned_length_scale,warning_count,warnings
A_48h_decision,F1,1785.0,1205.9598214285713,13.357999210202104,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F2,1842.03125,1197.8125,12.743967007355977,1785.0,0.0,Stop,should_continue,FN,False,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F3,1186.875,1291.40625,15.608953232254038,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F4,1147.5,1297.0312460960488,15.535159524009432,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F5,1249.21875,1282.5,15.672053890889769,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F6,1262.5,1280.6026785714287,15.677055089963648,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F7,606.09375,1374.375,11.277506108328625,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
A_48h_decision,F8,1147.5,1297.03124791568,15.535159609520525,1842.03125,0.0,Stop,should_stop,TN,True,0.3333333333333333,"0.0401**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0,
